link_id,station_id,road_name,lat,lon,year,month,AADT,AADT_motorcycles,AADT_cars,AADT_buses,AADT_trucks,AADT_heavy,heavy_pct,peak_hour_factor,growth_rate,data_source,region,road_class,road_class_enc,region_enc,dist_kampala_km,dist_nearest_town_km,length_km,surface_enc,betweenness_proxy,is_dry_season,is_holiday_month,year_norm,month_sin,month_cos,gdp_proxy,spatial_lag_aadt_k3,spatial_lag_aadt_k5,station_mean_aadt,log_AADT
A005_Link10,A00522,Kyenjojo - Fortportal,30.392845,0.642924,2020,12,3049.0,643.0,1917.0,267.0,89.5,179.0,5.870777304034109,0.11,-9.64,ATC_permanent,West,A,4,3,4749.358328272149,4402.364457055892,49.811,2,3.46,1,0,0.4444444444444444,-2.4492935982947064e-16,1.0,3.0,2256.0,2034.0444444444445,2532.7619047619046,8.022896869601457
A005_Link10,A00522,Kyenjojo - Fortportal,30.392845,0.642924,2021,2,2993.0,1057.0,1379.0,270.0,83.0,166.0,5.5462746408286,0.11,-9.64,ATC_permanent,West,A,4,3,4749.358328272149,4402.364457055892,49.811,2,3.46,1,0,0.5555555555555556,0.8660254037844386,0.5000000000000001,3.3,2256.0,2034.0444444444445,2532.7619047619046,8.004365564979574
A005_Link10,A00522,Kyenjojo - Fortportal,30.392845,0.642924,2021,4,3000.0,956.0,1519.0,247.0,83.0,166.0,5.533333333333333,0.11,-9.64,ATC_permanent,West,A,4,3,4749.358328272149,4402.364457055892,49.811,2,3.46,0,0,0.5555555555555556,0.8660254037844387,-0.4999999999999998,3.3,2256.0,2034.0444444444445,2532.7619047619046,8.006700845440367
A005_Link10,A00522,Kyenjojo - Fortportal,30.392845,0.642924,2021,5,2985.0,1027.0,1439.0,251.0,76.5,153.0,5.125628140703518,0.11,-9.64,ATC_permanent,West,A,4,3,4749.358328272149,4402.364457055892,49.811,2,3.46,0,0,0.5555555555555556,0.49999999999999994,-0.8660254037844387,3.3,2256.0,2034.0444444444445,2532.7619047619046,8.001689978099135
A005_Link10,A00522,Kyenjojo - Fortportal,30.392845,0.642924,2021,10,2952.0,938.0,1487.0,246.0,82.5,165.0,5.589430894308943,0.11,-9.64,ATC_permanent,West,A,4,3,4749.358328272149,4402.364457055892,49.811,2,3.46,0,0,0.5555555555555556,-0.8660254037844386,0.5000000000000001,3.3,2256.0,2034.0444444444445,2532.7619047619046,7.990576881743923
A005_Link10,A00522,Kyenjojo - Fortportal,30.392845,0.642924,2021,12,2916.0,761.0,1701.0,245.0,79.5,159.0,5.4526748971193415,0.11,-9.64,ATC_permanent,West,A,4,3,4749.358328272149,4402.364457055892,49.811,2,3.46,1,0,0.5555555555555556,-2.4492935982947064e-16,1.0,3.3,2256.0,2034.0444444444445,2532.7619047619046,7.978310969867722
A005_Link10,A00522,Kyenjojo - Fortportal,30.392845,0.642924,2022,4,1441.0,756.0,591.0,58.0,14.0,28.0,1.9430950728660648,0.11,-9.64,ATC_permanent,West,A,4,3,4749.358328272149,4402.364457055892,49.811,2,3.46,0,0,0.6666666666666666,0.8660254037844387,-0.4999999999999998,5.3,2256.0,2034.0444444444445,2532.7619047619046,7.273786317844895
A005_Link10,A00522,Kyenjojo - Fortportal,30.392845,0.642924,2022,5,2075.0,731.0,878.0,168.0,79.0,158.0,7.614457831325301,0.11,-9.64,ATC_permanent,West,A,4,3,4749.358328272149,4402.364457055892,49.811,2,3.46,0,0,0.6666666666666666,0.49999999999999994,-0.8660254037844387,5.3,2256.0,2034.0444444444445,2532.7619047619046,7.638198244285779
C920_Link01,C92001,Kumi - Brooks corner,33.9341,1.48769,2021,4,2342.0,1797.0,469.0,59.0,6.5,13.0,0.5550811272416738,0.11,-42.44,ATC_permanent,North East,C,2,2,4945.543563180108,4594.210272827464,45.953,0,0.448,0,0,0.5555555555555556,0.8660254037844387,-0.4999999999999998,3.3,1592.75,1034.1299999999999,2038.5727272727272,7.759187438507795
C920_Link01,C92001,Kumi - Brooks corner,33.9341,1.48769,2021,5,2506.0,1177.0,1222.0,82.0,11.5,23.0,0.9177972865123704,0.11,-42.44,ATC_permanent,North East,C,2,2,4945.543563180108,4594.210272827464,45.953,0,0.448,0,0,0.5555555555555556,0.49999999999999994,-0.8660254037844387,3.3,1592.75,1034.1299999999999,2038.5727272727272,7.826842098158293
C920_Link01,C92001,Kumi - Brooks corner,33.9341,1.48769,2021,10,573.0,527.0,46.0,0.0,0.0,0.0,0.0,0.11,-42.44,ATC_permanent,North East,C,2,2,4945.543563180108,4594.210272827464,45.953,0,0.448,0,0,0.5555555555555556,-0.8660254037844386,0.5000000000000001,3.3,1592.75,1034.1299999999999,2038.5727272727272,6.352629396319567
C920_Link01,C92001,Kumi - Brooks corner,33.9341,1.48769,2021,11,2145.0,1599.0,507.0,34.0,2.5,5.0,0.2331002331002331,0.11,-42.44,ATC_permanent,North East,C,2,2,4945.543563180108,4594.210272827464,45.953,0,0.448,0,0,0.5555555555555556,-0.5000000000000004,0.8660254037844384,3.3,1592.75,1034.1299999999999,2038.5727272727272,7.671360923190644
B101_Link01,B101_LINK01,Mukono - Kalagi,32.808814,0.589747,2019,1,5120.0,1518.0,2984.0,476.0,61.5,123.0,2.40234375,0.11,-13.84,ATC_permanent,Central,B,3,0,4924.872620741945,4575.060478290397,17.866,2,1.949,1,1,0.3333333333333333,0.49999999999999994,0.8660254037844387,8.0,5487.714285714285,4917.118571428571,5258.04,8.54110501146255
B101_Link01,B101_LINK01,Mukono - Kalagi,32.808814,0.589747,2019,4,5037.0,1616.0,2911.0,380.0,57.0,114.0,2.263251935675997,0.11,-13.84,ATC_permanent,Central,B,3,0,4924.872620741945,4575.060478290397,17.866,2,1.949,0,0,0.3333333333333333,0.8660254037844387,-0.4999999999999998,8.0,5487.714285714285,4917.118571428571,5258.04,8.524764456912555
B101_Link01,B101_LINK01,Mukono - Kalagi,32.808814,0.589747,2019,6,5174.0,1839.0,2737.0,449.0,63.0,126.0,2.435253189022033,0.11,-13.84,ATC_permanent,Central,B,3,0,4924.872620741945,4575.060478290397,17.866,2,1.949,1,1,0.3333333333333333,1.2246467991473532e-16,-1.0,8.0,5487.714285714285,4917.118571428571,5258.04,8.55159461813357
B101_Link01,B101_LINK01,Mukono - Kalagi,32.808814,0.589747,2019,7,4875.0,1578.0,2736.0,418.0,56.0,112.0,2.2974358974358977,0.11,-13.84,ATC_permanent,Central,B,3,0,4924.872620741945,4575.060478290397,17.866,2,1.949,1,0,0.3333333333333333,-0.4999999999999997,-0.8660254037844388,8.0,5487.714285714285,4917.118571428571,5258.04,8.492080490601163
B101_Link01,B101_LINK01,Mukono - Kalagi,32.808814,0.589747,2019,8,5143.0,1608.0,2938.0,452.0,58.0,116.0,2.2554929029749173,0.11,-13.84,ATC_permanent,Central,B,3,0,4924.872620741945,4575.060478290397,17.866,2,1.949,1,0,0.3333333333333333,-0.8660254037844385,-0.5000000000000004,8.0,5487.714285714285,4917.118571428571,5258.04,8.545586265917455
B101_Link01,B101_LINK01,Mukono - Kalagi,32.808814,0.589747,2019,9,5308.0,1790.0,2961.0,428.0,53.0,106.0,1.9969856819894496,0.11,-13.84,ATC_permanent,Central,B,3,0,4924.872620741945,4575.060478290397,17.866,2,1.949,0,0,0.3333333333333333,-1.0,-1.8369701987210297e-16,8.0,5487.714285714285,4917.118571428571,5258.04,8.57715877258367
B101_Link01,B101_LINK01,Mukono - Kalagi,32.808814,0.589747,2019,10,5516.0,1932.0,2959.0,465.0,66.0,132.0,2.393038433647571,0.11,-13.84,ATC_permanent,Central,B,3,0,4924.872620741945,4575.060478290397,17.866,2,1.949,0,0,0.3333333333333333,-0.8660254037844386,0.5000000000000001,8.0,5487.714285714285,4917.118571428571,5258.04,8.61558951327243
